2019-06-21 19:01:09.0763 | ERROR | Errors | Ошибка чтения изменений после удалении записи
2019-06-21 19:01:19.0132 | ERROR | Errors | Ошибка открытия файла
2019-06-21 19:01:20.8169 | ERROR | Errors | Ошибка чтения файла
2019-06-21 19:01:25.7961 | ERROR | Errors | Ошибка открытия файла
2019-06-21 19:01:31.2971 | ERROR | Errors | Ошибка чтения файла
2019-06-21 19:01:32.2516 | ERROR | Errors | Ошибка открытия файла
2019-06-21 19:15:41.6013 | ERROR | Errors | Ошибка открытия файла
2019-06-21 19:16:24.1133 | ERROR | Errors | Ошибка повторной записи при удалении записи
2019-06-21 19:16:25.3319 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 1
2019-06-21 19:16:26.2592 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-21 19:16:26.6148 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 3
2019-06-21 19:16:26.7962 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 4
2019-06-21 19:16:32.9051 | ERROR | Errors | Ошибка открытия файла
2019-06-21 19:17:02.6128 | ERROR | Errors | Ошибка повторной записи при удалении записи
2019-06-21 19:19:47.6807 | ERROR | Errors | Ошибка повторной записи при удалении записи
2019-06-21 19:19:49.6222 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-21 19:19:52.0000 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-21 19:20:51.6522 | ERROR | Errors | Ошибка повторной записи при удалении записи
