2019-06-25 23:49:38.9974 | ERROR | Errors | Ошибка чтения изменений после удалении записи
2019-06-25 23:49:40.7461 | ERROR | Errors | Ошибка повторной записи при удалении записи
2019-06-25 23:49:40.7587 | ERROR | Errors | Ошибка чтения изменений после удалении записи
2019-06-25 23:49:46.0102 | ERROR | Errors | Ошибка чтения изменений после удалении записи
2019-06-25 23:49:51.9381 | ERROR | Errors | Ошибка чтения файла
2019-06-25 23:49:51.9741 | ERROR | Errors | Ошибка открытия файла
2019-06-25 23:56:37.3091 | ERROR | Errors | Ошибка чтения изменений после удалении записи
2019-06-25 23:58:23.4609 | ERROR | Errors | Ошибка чтения файла
2019-06-25 23:58:23.5019 | ERROR | Errors | Ошибка открытия файла
2019-06-25 23:58:55.1463 | ERROR | Errors | Ошибка чтения файла
2019-06-25 23:58:55.1913 | ERROR | Errors | Ошибка открытия файла
2019-06-25 23:58:57.0618 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-25 23:58:57.7994 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-25 23:58:58.0098 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-25 23:59:01.2769 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 1
2019-06-25 23:59:33.7970 | ERROR | Errors | Ошибка чтения файла
2019-06-25 23:59:33.8351 | ERROR | Errors | Ошибка открытия файла
2019-06-25 23:59:42.2848 | ERROR | Errors | Ошибка чтения файла
2019-06-25 23:59:42.3198 | ERROR | Errors | Ошибка открытия файла
