2019-06-26 00:01:04.6993 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:01:04.7392 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:02:01.9734 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:02:02.0134 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:02:04.8104 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 1
2019-06-26 00:02:04.9870 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-26 00:02:05.1237 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 3
2019-06-26 00:04:30.9281 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:04:30.9641 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:04:38.2092 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:04:38.2482 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:06:25.4990 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:06:25.5370 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:12:10.6256 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:12:10.6626 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:12:11.9776 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 1
2019-06-26 00:12:12.1678 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-26 00:12:12.3244 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 3
2019-06-26 00:14:23.0867 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:14:23.1307 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:15:03.8795 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:15:03.9245 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:15:06.0045 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 1
2019-06-26 00:15:06.1662 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 2
2019-06-26 00:15:06.3134 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 3
2019-06-26 00:15:06.4683 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 4
2019-06-26 00:15:06.6088 | ERROR | Errors | Ошибка перехода на следующую запись, на запись 5
2019-06-26 00:16:00.8013 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:16:00.8363 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:16:28.8561 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:16:28.8931 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:17:01.8951 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:17:01.9321 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:17:25.8103 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:17:25.8623 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:18:36.4224 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:18:36.4544 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:19:01.6545 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-26 00:19:01.8281 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-26 00:19:01.9740 | ERROR | Errors | Попытка работы с пустым файлом
2019-06-26 00:30:04.2054 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:30:04.2434 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:33:19.9692 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:33:20.0042 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:35:37.4803 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:35:37.5253 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:35:39.4257 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:37:02.9397 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:37:02.9727 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:37:27.4958 | ERROR | Errors | Ошибка создания новой записи
2019-06-26 00:37:27.5229 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:37:31.5416 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:37:31.5756 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:48:56.6859 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:48:56.7299 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:49:10.6160 | ERROR | Errors | Ошибка создания новой записи
2019-06-26 00:49:10.6541 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:49:15.4969 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:49:15.5309 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:49:20.8559 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:50:30.7643 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:50:30.8033 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:50:42.5845 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:50:56.3676 | ERROR | Errors | Ошибка создания новой записи
2019-06-26 00:50:56.3896 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:51:30.6993 | ERROR | Errors | Ошибка чтения файла
2019-06-26 00:51:30.7403 | ERROR | Errors | Ошибка открытия файла
2019-06-26 00:53:09.8262 | ERROR | Errors | Ошибка создания новой записи
